ngram,score
经济,6.724613183618265
加快,6.724613183618265
体制,6.036428792400448
转变经济,6.036428792400448
义市场经,6.036428792400448
方式,6.036428792400448
快完,6.036428792400448
四、加快完,6.036428792400448
制和加,6.036428792400448
和加快转变,6.036428792400448
济发展,6.036428792400448
义市场经济,6.036428792400448
完善社,6.036428792400448
、加快完,6.036428792400448
快转变,6.036428792400448
社会主义,6.036428792400448
主义,6.036428792400448
济体制,6.036428792400448
制和加快转,6.036428792400448
完善社会主,6.036428792400448
会主,6.036428792400448
制和,6.036428792400448
场经,6.036428792400448
主义市场,6.036428792400448
和加快,6.036428792400448
经济发展,6.036428792400448
体制和加快,6.036428792400448
经济体制,6.036428792400448
济发展方式,6.036428792400448
展方式,6.036428792400448
体制和,6.036428792400448
和加快转,6.036428792400448
变经,6.036428792400448
加快转变经,6.036428792400448
展方,6.036428792400448
义市,6.036428792400448
加快完,6.036428792400448
社会主义市,6.036428792400448
加快完善,6.036428792400448
发展方式,6.036428792400448
加快转,6.036428792400448
善社会主,6.036428792400448
四、,6.036428792400448
快转变经济,6.036428792400448
场经济体制,6.036428792400448
主义市,6.036428792400448
四、加快,6.036428792400448
义市场,6.036428792400448
会主义市,6.036428792400448
变经济发,6.036428792400448
