ngram,score
ڴ£ͣ,5.7911983721276155
ڷ̸ӱ,5.7911983721276155
ȫʤ,5.7911983721276155
ȫ潨Сᣬ,5.7911983721276155
ͬ־һҪǸ,5.7911983721276155
սҲ,5.7911983721276155
潨Сᣬȡ,5.7911983721276155
Σڱ,5.7911983721276155
Ͼȫͬ־,5.7911983721276155
ΰʤ,5.7911983721276155
£ͣͣŽȫ,5.7911983721276155
ʮϾ,5.7911983721276155
ǸԶӰ˼,5.7911983721276155
ʱй,5.7911983721276155
ֹսҲʮ,5.7911983721276155
ڴ£ͣͣ,5.7911983721276155
ҹչԴҪ,5.7911983721276155
ҪǸԶ,5.7911983721276155
սҲʮ,5.7911983721276155
־һҪǸ,5.7911983721276155
ӱ仯ҹչԴ,5.7911983721276155
ҪսԻڣ,5.7911983721276155
ڣǰʮ,5.7911983721276155
̸ӱ仯ҹչ,5.7911983721276155
£ͣͣŽ,5.7911983721276155
ʤȫ潨С,5.7911983721276155
ҲʮϾȫͬ,5.7911983721276155
ֹսҲ,5.7911983721276155
潨Сᣬȡʱ,5.7911983721276155
ʮֹս,5.7911983721276155
ʮϾȫ,5.7911983721276155
ҹչ,5.7911983721276155
ǰʮֹս,5.7911983721276155
Ͼȫͬ,5.7911983721276155
Žȫʤȫ,5.7911983721276155
ͬ־һҪ,5.7911983721276155
־һҪǸԶ,5.7911983721276155
սԻڣ,5.7911983721276155
Ӱ˼Σڱ,5.7911983721276155
ڣǰʮֹս,5.7911983721276155
ǰڷ̸ӱ,5.7911983721276155
Сᣬȡʱй,5.7911983721276155
ҹչԴ,5.7911983721276155
ԶӰ˼Σ,5.7911983721276155
һҪǸԶ,5.7911983721276155
һҪ,5.7911983721276155
ͬ־һ,5.7911983721276155
ڷ̸,5.7911983721276155
仯ҹչԴҪ,5.7911983721276155
ǸԶӰ,5.7911983721276155
