ngram,score
两岸,7.67915830105904
һϵ,7.456513627280745
，我们,7.456513627280745
我国发展,7.456513627280745
我国发,7.456513627280745
一系列重大,7.169662464723051
康社,7.169662464723051
面建,7.169662464723051
系列重,7.169662464723051
到新,7.169662464723051
小康,7.169662464723051
列重大,7.169662464723051
小康社会,7.169662464723051
列重,7.169662464723051
һϵش,7.169662464723051
一系列重,7.169662464723051
ٷ֮,7.169662464723051
ϵش,7.169662464723051
系列重大,7.169662464723051
全面建,7.169662464723051
ͬ־,7.169662464723051
ʶʶ,7.169662464723051
小康社,7.169662464723051
康社会,7.169662464723051
阶段,7.169662464723051
革、,6.765857108033252
会主义道路,6.765857108033252
չЧ,6.765857108033252
ĺʹ,6.765857108033252
夺取,6.765857108033252
，国,6.765857108033252
建成小,6.765857108033252
和全面,6.765857108033252
成小,6.765857108033252
了中,6.765857108033252
Žȫ,6.765857108033252
成小康社会,6.765857108033252
һǧ,6.765857108033252
ȫͬ־һ,6.765857108033252
֮ʮ,6.765857108033252
进一步,6.765857108033252
ȫͬ־,6.765857108033252
ȫͬ־һҪ,6.765857108033252
ͬ־һҪ,6.765857108033252
ɫΰ,6.765857108033252
保持,6.765857108033252
展的重,6.765857108033252
新水,6.765857108033252
岸关系,6.765857108033252
Ȳƽ,6.765857108033252
